experiment_name,FractionID,FractionOrder
HEK_SEC2,Control_HEK_SEC_020118_30b,21
HEK_SEC2,Control_HEK_SEC_020118_31b,22
HEK_SEC2,Control_HEK_SEC_020118_32b,23
HEK_SEC2,Control_HEK_SEC_020118_33b,24
HEK_SEC2,Control_HEK_SEC_020118_34b,25
HEK_SEC2,Control_HEK_SEC_020118_35b,26
HEK_SEC2,Control_HEK_SEC_020118_38b,29
HEK_SEC2,Control_HEK_SEC_020118_42b,33
HEK_SEC2,Control_HEK_SEC_020118_44b,35
HEK_SEC2,Control_HEK_SEC_020118_51b,42
HEK_SEC2,Control_HEK_SEC_020118_22b,13
HEK_SEC2,Control_HEK_SEC_020118_21b,12
HEK_SEC2,Control_HEK_SEC_020118_19b,10
HEK_SEC2,Control_HEK_SEC_020118_28b,19
HEK_SEC2,Control_HEK_SEC_020118_39b,30
HEK_SEC2,Control_HEK_SEC_020118_29b,20
HEK_SEC2,Control_HEK_SEC_020118_16b,7
HEK_SEC2,Control_HEK_SEC_020118_43b,34
HEK_SEC2,Control_HEK_SEC_020118_17b,8
HEK_SEC2,Control_HEK_SEC_020118_18b,9
HEK_SEC2,Control_HEK_SEC_020118_23b,14
HEK_SEC2,Control_HEK_SEC_020118_24b,15
HEK_SEC2,Control_HEK_SEC_020118_45b,36
HEK_SEC2,Control_HEK_SEC_020118_46b,37
HEK_SEC2,Control_HEK_SEC_020118_47b,38
HEK_SEC2,Control_HEK_SEC_020118_48c,39
HEK_SEC2,Control_HEK_SEC_020118_40b,31
HEK_SEC2,Control_HEK_SEC_020118_41b,32
HEK_SEC2,Control_HEK_SEC_020118_27b,18
HEK_SEC2,Control_HEK_SEC_020118_37c,28
HEK_SEC2,Control_HEK_SEC_020118_15b,6
HEK_SEC2,Control_HEK_SEC_020118_20b,11
HEK_SEC2,Control_HEK_SEC_020118_25c,16
HEK_SEC2,Control_HEK_SEC_020118_26b,17
HEK_SEC2,Control_HEK_SEC_020118_36c,27
HEK_SEC2,Control_HEK_SEC_020118_50b,41
HEK_SEC2,Control_HEK_SEC_020118_53b,44
HEK_SEC2,Control_HEK_SEC_020118_55b,46
HEK_SEC2,Control_HEK_SEC_020118_49c,40
HEK_SEC2,Control_HEK_SEC_020118_56b,47
HEK_SEC2,Control_HEK_SEC_020118_63b,54
HEK_SEC2,Control_HEK_SEC_020118_57b,48
