experiment_name,totfracs
ARATH_IEX1,Athaliana_sproutsWWC_60a_02202017
ARATH_IEX2,Athaliana_seed_IEX_65a_03232017
ARATH_SEC1,A_thaliana_sprouts_SEC_54a_02102017
CHLRE_IEX1,Chlamy_WWC_65a_20160904
CHLRE_SEC1,Chlamy_SEC_62a_09152016
CHLRE_SEC2,Chlamy_NE_SEC_52a_04282017
HEK_IEX1,HEK293T_control_IEX_9a_011217
HEK_IEX2,HEK293T_ctrl_IEX_SC_84a_042217
HEK_SEC1,HEK293T_ctrl_SEC_62a_113016
HEK_SEC2,Control_HEK_SEC_020118_70b
HEKR_SEC1,HEK293T_RNASE_SEC_62a_120916
HEKR_SEC2,RNaseA_HEK_SEC_012318_70a
HEMO_IEX1,Hemolysate_IEX_33_10032017
HEMO_IEX2,Hemolysate_IEX_2_77_1a_10272017
HEMO_SEC1,Hemolysate_SEC_74_1a_11092017
HEMO_SEC2,Hemolysate6569_SEC_ctrlRNaseA_75_01052018
SOYBN_SEC1,Soy_sprout_SEC_69_1a_10242017
SOYBN_SEC2,SoySEC_standards_72a_03172018
