ProteinID,experiment_name,label,set
tr|A0A2K3D8I0|A0A2K3D8I0_CHLRE,CHLRE_IEX1,pos,val
sp|Q9SHI1|IF2C_ARATH,ARATH_SEC1,pos,val
sp|Q8NC60|NOA1_HUMAN,HEK_IEX1,pos,val
sp|Q06738|RD29A_ARATH,ARATH_IEX1,pos,val
sp|Q9UQ35|SRRM2_HUMAN,HEKR_SEC2,pos,val
tr|A8I9T2|A8I9T2_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3D5C1|A0A2K3D5C1_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3CWR1|A0A2K3CWR1_CHLRE,CHLRE_SEC2,pos,val
sp|P22102|PUR2_HUMAN,HEKB_SEC1,pos,val
tr|A0A2K3D5T6|A0A2K3D5T6_CHLRE,CHLRE_SEC1,pos,val
sp|P35269|T2FA_HUMAN,HEK_IEX1,pos,val
tr|A8HWZ6|A8HWZ6_CHLRE,CHLRE_IEX1,pos,val
sp|P19338|NUCL_HUMAN,HEK_IEX1,pos,val
sp|Q84W56|RNJ_ARATH,ARATH_IEX1,pos,val
tr|A0A2K3DES1|A0A2K3DES1_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3D274|A0A2K3D274_CHLRE,CHLRE_SEC1,pos,val
sp|P35527|K1C9_HUMAN,HEKR_SEC2,pos,val
tr|A0A2K3DUW9|A0A2K3DUW9_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3CRT7|A0A2K3CRT7_CHLRE,CHLRE_IEX1,pos,val
sp|Q9SHI1|IF2C_ARATH,ARATH_IEX1,pos,val
sp|P42380|CLPP_CHLRE,CHLRE_SEC1,pos,val
tr|A0A2K3D4R1|A0A2K3D4R1_CHLRE,CHLRE_SEC1,pos,val
sp|Q9Y4E8|UBP15_HUMAN,HEKR_SEC1,pos,val
tr|A0A2K3D6N5|A0A2K3D6N5_CHLRE,CHLRE_SEC2,pos,val
sp|Q9FZE0|BGL40_ARATH,ARATH_IEX1,pos,val
sp|O48963|PHOT1_ARATH,ARATH_SEC1,pos,val
tr|A0A2K3DKC3|A0A2K3DKC3_CHLRE,CHLRE_SEC1,pos,val
sp|P09874|PARP1_HUMAN,HEK_IEX1,pos,val
sp|P22102|PUR2_HUMAN,HEKR_SEC2,pos,val
sp|O95782|AP2A1_HUMAN,HEK_IEX1,pos,val
sp|P51610|HCFC1_HUMAN,HEK_SEC1,pos,val
tr|A0A2K3E831|A0A2K3E831_CHLRE,CHLRE_IEX1,pos,val
sp|P27816|MAP4_HUMAN,HEK_SEC1,pos,val
sp|Q9SJT9|COPA2_ARATH,ARATH_SEC1,pos,val
sp|Q9SZP8|IF4B3_ARATH,ARATH_IEX1,pos,val
tr|A0A2K3D393|A0A2K3D393_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3E099|A0A2K3E099_CHLRE,CHLRE_IEX1,pos,val
sp|P22307|NLTP_HUMAN,HEK_IEX1,pos,val
tr|A0A2K3CXQ8|A0A2K3CXQ8_CHLRE,CHLRE_IEX1,pos,val
sp|Q93W28|Y4554_ARATH,ARATH_IEX1,pos,val
tr|A0A2K3DJ67|A0A2K3DJ67_CHLRE,CHLRE_SEC2,pos,val
tr|A0A2K3DE30|A0A2K3DE30_CHLRE,CHLRE_IEX1,pos,val
sp|Q9Y520|PRC2C_HUMAN,HEK_SEC1,pos,val
tr|A0A2K3DT09|A0A2K3DT09_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DRF1|A0A2K3DRF1_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3CTD1|A0A2K3CTD1_CHLRE,CHLRE_SEC1,pos,val
tr|A0A2K3DCF2|A0A2K3DCF2_CHLRE,CHLRE_IEX1,pos,val
sp|Q29RF7|PDS5A_HUMAN,HEKB_SEC1,pos,val
sp|Q93ZG7|RH38_ARATH,ARATH_IEX1,pos,val
tr|A8I2U9|A8I2U9_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DEF1|A0A2K3DEF1_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DUR5|A0A2K3DUR5_CHLRE,CHLRE_IEX1,pos,val
sp|P25787|PSA2_HUMAN,HEKR_SEC1,pos,val
tr|A8ITH8|A8ITH8_CHLRE,CHLRE_IEX1,pos,val
sp|P27816|MAP4_HUMAN,HEK_IEX1,pos,val
tr|A0A2K3D3A9|A0A2K3D3A9_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3E565|A0A2K3E565_CHLRE,CHLRE_IEX1,pos,val
sp|O14654|IRS4_HUMAN,HEKR_SEC2,pos,val
sp|P11142|HSP7C_HUMAN,HEKR_SEC1,pos,val
sp|P35249|RFC4_HUMAN,HEKB_SEC1,pos,val
sp|P49792|RBP2_HUMAN,HEKR_SEC1,pos,val
tr|A8HVV6|A8HVV6_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3CNK8|A0A2K3CNK8_CHLRE,CHLRE_IEX1,pos,val
sp|P00492|HPRT_HUMAN,HEMO_SEC2,pos,val
sp|Q8N1G4|LRC47_HUMAN,HEK_IEX1,pos,val
sp|Q9C5H4|MTV1_ARATH,ARATH_IEX1,pos,val
sp|P09874|PARP1_HUMAN,HEK_IEX2,pos,val
sp|Q8TEQ6|GEMI5_HUMAN,HEKR_SEC2,pos,val
tr|A0A2K3CS36|A0A2K3CS36_CHLRE,CHLRE_IEX1,pos,val
tr|A8J9P9|A8J9P9_CHLRE,CHLRE_IEX1,pos,val
sp|Q9UQ35|SRRM2_HUMAN,HEKR_SEC1,pos,val
sp|Q93ZT6|IF4G1_ARATH,ARATH_SEC1,pos,val
sp|Q9Y4E8|UBP15_HUMAN,HEK_SEC2,pos,val
tr|A0A2K3D8H2|A0A2K3D8H2_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DTX8|A0A2K3DTX8_CHLRE,CHLRE_IEX1,pos,val
sp|Q9ULX3|NOB1_HUMAN,HEKR_SEC2,pos,val
sp|P04844|RPN2_HUMAN,HEKR_SEC1,pos,val
tr|A0A2K3E4N7|A0A2K3E4N7_CHLRE,CHLRE_IEX1,pos,val
sp|O48963|PHOT1_ARATH,ARATH_IEX1,pos,val
tr|A0A2K3D3M7|A0A2K3D3M7_CHLRE,CHLRE_IEX1,pos,val
sp|Q9H1E3|NUCKS_HUMAN,HEK_IEX1,pos,val
sp|Q6P1J9|CDC73_HUMAN,HEK_IEX1,pos,val
sp|Q9FR37|AMI1_ARATH,ARATH_SEC1,pos,val
tr|F4I420|F4I420_ARATH,ARATH_SEC1,pos,val
tr|A0A2K3CPM2|A0A2K3CPM2_CHLRE,CHLRE_SEC1,pos,val
sp|P78347|GTF2I_HUMAN,HEK_IEX2,pos,val
sp|Q13283|G3BP1_HUMAN,HEK_IEX1,pos,val
sp|P22307|NLTP_HUMAN,HEKR_SEC2,pos,val
sp|P49321|NASP_HUMAN,HEKR_SEC1,pos,val
tr|A0A2K3CQA4|A0A2K3CQA4_CHLRE,CHLRE_IEX1,pos,val
sp|P49321|NASP_HUMAN,HEKB_SEC1,pos,val
tr|A0A2K3D701|A0A2K3D701_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DKH4|A0A2K3DKH4_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3D4R1|A0A2K3D4R1_CHLRE,CHLRE_IEX1,pos,val
sp|Q8NE71|ABCF1_HUMAN,HEK_IEX1,pos,val
sp|Q08554|DSC1_HUMAN,HEMO_SEC1,pos,val
tr|A0A2K3DJ67|A0A2K3DJ67_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3D8I4|A0A2K3D8I4_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DL22|A0A2K3DL22_CHLRE,CHLRE_IEX1,pos,val
sp|P49321|NASP_HUMAN,HEK_SEC1,pos,val
tr|A8II42|A8II42_CHLRE,CHLRE_SEC1,pos,val
tr|A0A2K3DZY2|A0A2K3DZY2_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DAW8|A0A2K3DAW8_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3CRZ3|A0A2K3CRZ3_CHLRE,CHLRE_IEX1,pos,val
tr|Q8LPD9|Q8LPD9_CHLRE,CHLRE_IEX1,pos,val
sp|P22307|NLTP_HUMAN,HEK_SEC2,pos,val
sp|Q9LZ82|BTR1_ARATH,ARATH_IEX1,pos,val
tr|A0A2K3DEP8|A0A2K3DEP8_CHLRE,CHLRE_IEX1,pos,val
sp|P20042|IF2B_HUMAN,HEK_IEX1,pos,val
sp|P22102|PUR2_HUMAN,HEK_SEC2,pos,val
tr|A0A2K3DD86|A0A2K3DD86_CHLRE,CHLRE_SEC2,pos,val
sp|P22102|PUR2_HUMAN,HEK_IEX2,pos,val
tr|A0A2K3DLZ7|A0A2K3DLZ7_CHLRE,CHLRE_SEC1,pos,val
sp|Q86XP3|DDX42_HUMAN,HEK_IEX1,pos,val
tr|A0A2K3D1T9|A0A2K3D1T9_CHLRE,CHLRE_IEX1,pos,val
sp|P63104|1433Z_HUMAN,HEK_SEC1,pos,val
tr|A0A2K3DKA0|A0A2K3DKA0_CHLRE,CHLRE_SEC2,pos,val
sp|P51659|DHB4_HUMAN,HEK_IEX1,pos,val
sp|P48634|PRC2A_HUMAN,HEK_SEC2,pos,val
