ProteinID,experiment_name,label,set
tr|Q8VZ23|Q8VZ23_ARATH,ARATH_IEX2,neg,val
sp|P22314|UBA1_HUMAN,HEMO_SEC2,neg,val
sp|Q92621|NU205_HUMAN,HEK_SEC2,neg,val
tr|A0A2K3DTT8|A0A2K3DTT8_CHLRE,CHLRE_IEX1,neg,val
sp|P55072|TERA_HUMAN,HEMO_SEC2,neg,val
sp|Q9BQG2|NUD12_HUMAN,HEK_SEC2,neg,val
tr|I1NC18|I1NC18_SOYBN,SOYBN_SEC1,neg,val
tr|I1NA53|I1NA53_SOYBN,SOYBN_SEC2,neg,val
sp|O60645|EXOC3_HUMAN,HEKR_SEC2,neg,val
tr|I1MYL7|I1MYL7_SOYBN,SOYBN_SEC1,neg,val
sp|Q99426|TBCB_HUMAN,HEMO_IEX2,neg,val
sp|P34932|HSP74_HUMAN,HEMO_SEC2,neg,val
sp|P39657|RUAP_SOYBN,SOYBN_SEC1,neg,val
tr|Q6Y682|Q6Y682_CHLRE,CHLRE_SEC2,neg,val
sp|O75439|MPPB_HUMAN,HEKR_SEC1,neg,val
sp|Q16763|UBE2S_HUMAN,HEK_IEX1,neg,val
tr|A0A0R0EV63|A0A0R0EV63_SOYBN,SOYBN_SEC1,neg,val
tr|I1NAI7|I1NAI7_SOYBN,SOYBN_SEC2,neg,val
sp|O04316|JAL29_ARATH,ARATH_IEX1,neg,val
sp|P04350|TBB4A_HUMAN,HEKR_SEC1,neg,val
sp|Q9GZN8|CT027_HUMAN,HEMO_SEC2,neg,val
tr|A8IMP6|A8IMP6_CHLRE,CHLRE_SEC2,neg,val
sp|O23299|ECI2_ARATH,ARATH_IEX2,neg,val
tr|I1MRW7|I1MRW7_SOYBN,SOYBN_SEC2,neg,val
sp|Q96F86|EDC3_HUMAN,HEK_IEX1,neg,val
sp|Q8RX79|APG3_ARATH,ARATH_SEC1,neg,val
tr|A0A2K3CQW6|A0A2K3CQW6_CHLRE,CHLRE_SEC1,neg,val
tr|I1M2B6|I1M2B6_SOYBN,SOYBN_SEC2,neg,val
tr|I1K6S6|I1K6S6_SOYBN,SOYBN_SEC2,neg,val
tr|A8I2V3|A8I2V3_CHLRE,CHLRE_SEC2,neg,val
tr|I1LHL6|I1LHL6_SOYBN,SOYBN_SEC1,neg,val
sp|P18754|RCC1_HUMAN,HEK_SEC2,neg,val
