ProteinID,experiment_name,label,set
tr|C6TKL8|C6TKL8_SOYBN,SOYBN_SEC1,neg,train
tr|A8HP90|A8HP90_CHLRE,CHLRE_SEC2,neg,train
tr|A0A0R0HR30|A0A0R0HR30_SOYBN,SOYBN_SEC2,neg,train
sp|P15311|EZRI_HUMAN,HEK_SEC2,neg,train
sp|Q16773|KAT1_HUMAN,HEMO_IEX1,neg,train
tr|K7KC62|K7KC62_SOYBN,SOYBN_SEC1,neg,train
sp|P11413|G6PD_HUMAN,HEK_SEC2,neg,train
tr|A0A2K3DJU8|A0A2K3DJU8_CHLRE,CHLRE_IEX1,neg,train
tr|A8JH98|A8JH98_CHLRE,CHLRE_IEX1,neg,train
sp|Q9P0J1|PDP1_HUMAN,HEKR_SEC2,neg,train
sp|P40926|MDHM_HUMAN,HEKR_SEC1,neg,train
sp|Q9P258|RCC2_HUMAN,HEK_SEC1,neg,train
tr|I1N6A6|I1N6A6_SOYBN,SOYBN_SEC2,neg,train
tr|A0A2K3E6L6|A0A2K3E6L6_CHLRE,CHLRE_IEX1,neg,train
sp|O75223|GGCT_HUMAN,HEMO_IEX2,neg,train
sp|P30154|2AAB_HUMAN,HEMO_SEC2,neg,train
tr|A8JF47|A8JF47_CHLRE,CHLRE_SEC1,neg,train
tr|Q6QJE0|Q6QJE0_CHLRE,CHLRE_SEC2,neg,train
sp|P16989|YBOX3_HUMAN,HEKR_SEC2,neg,train
tr|I1MS24|I1MS24_SOYBN,SOYBN_SEC2,neg,train
tr|A8IUY6|A8IUY6_CHLRE,CHLRE_SEC2,neg,train
sp|O95352|ATG7_HUMAN,HEMO_SEC2,neg,train
sp|Q9C713|SYRC_ARATH,ARATH_IEX2,neg,train
tr|A0A2K3E0P9|A0A2K3E0P9_CHLRE,CHLRE_SEC1,neg,train
tr|I1LQR8|I1LQR8_SOYBN,SOYBN_SEC1,neg,train
sp|P08865|RSSA_HUMAN,HEK_IEX1,neg,train
tr|I1LSH8|I1LSH8_SOYBN,SOYBN_SEC1,neg,train
tr|I1K099|I1K099_SOYBN,SOYBN_SEC2,neg,train
tr|I1MZ13|I1MZ13_SOYBN,SOYBN_SEC2,neg,train
sp|P12268|IMDH2_HUMAN,HEK_IEX2,neg,train
sp|P16403|H12_HUMAN,HEK_SEC2,neg,train
sp|Q9NU22|MDN1_HUMAN,HEKR_SEC1,neg,train
sp|Q13228|SBP1_HUMAN,HEMO_IEX1,neg,train
sp|Q13228|SBP1_HUMAN,HEMO_SEC2,neg,train
tr|Q9STG1|Q9STG1_ARATH,ARATH_IEX2,neg,train
tr|Q42139|Q42139_ARATH,ARATH_SEC1,neg,train
tr|I1M1Y8|I1M1Y8_SOYBN,SOYBN_SEC2,neg,train
tr|A0A2K3D8F4|A0A2K3D8F4_CHLRE,CHLRE_SEC1,neg,train
tr|I1ME25|I1ME25_SOYBN,SOYBN_SEC1,neg,train
sp|Q9Y6A5|TACC3_HUMAN,HEK_SEC2,neg,train
sp|Q06830|PRDX1_HUMAN,HEMO_IEX1,neg,train
sp|P35244|RFA3_HUMAN,HEKR_SEC1,neg,train
tr|I1N727|I1N727_SOYBN,SOYBN_SEC1,neg,train
tr|A0A0R0I0B9|A0A0R0I0B9_SOYBN,SOYBN_SEC1,neg,train
sp|Q9GZP4|PITH1_HUMAN,HEMO_SEC1,neg,train
tr|A0A2K3D7J8|A0A2K3D7J8_CHLRE,CHLRE_IEX1,neg,train
tr|K7MRE8|K7MRE8_SOYBN,SOYBN_SEC1,neg,train
sp|P61601|NCALD_HUMAN,HEKR_SEC1,neg,train
tr|A0A2K3E0U9|A0A2K3E0U9_CHLRE,CHLRE_SEC1,neg,train
tr|I1LAZ4|I1LAZ4_SOYBN,SOYBN_SEC1,neg,train
tr|A0A0R4J3V9|A0A0R4J3V9_SOYBN,SOYBN_SEC2,neg,train
sp|O95573|ACSL3_HUMAN,HEKR_SEC1,neg,train
tr|A0A2K3CWS9|A0A2K3CWS9_CHLRE,CHLRE_SEC2,neg,train
tr|A0A2K3DKT2|A0A2K3DKT2_CHLRE,CHLRE_IEX1,neg,train
sp|Q9UBS4|DJB11_HUMAN,HEK_IEX2,neg,train
sp|Q9BTE3|MCMBP_HUMAN,HEK_IEX2,neg,train
sp|Q94BS2|MET1_ARATH,ARATH_SEC1,neg,train
tr|A8IH03|A8IH03_CHLRE,CHLRE_IEX1,neg,train
tr|I1KP32|I1KP32_SOYBN,SOYBN_SEC2,neg,train
sp|P27694|RFA1_HUMAN,HEK_IEX2,neg,train
tr|O22547|O22547_CHLRE,CHLRE_IEX1,neg,train
tr|A0A2K3DGG7|A0A2K3DGG7_CHLRE,CHLRE_SEC1,neg,train
tr|A8HP28|A8HP28_CHLRE,CHLRE_IEX1,neg,train
sp|O75116|ROCK2_HUMAN,HEK_SEC2,neg,train
sp|P50570|DYN2_HUMAN,HEKR_SEC2,neg,train
sp|Q9M8R9|RRAA1_ARATH,ARATH_IEX2,neg,train
sp|O95336|6PGL_HUMAN,HEMO_SEC2,neg,train
sp|O14980|XPO1_HUMAN,HEMO_SEC1,neg,train
tr|A8ITS8|A8ITS8_CHLRE,CHLRE_IEX1,neg,train
tr|Q8VZB5|Q8VZB5_ARATH,ARATH_IEX1,neg,train
sp|Q5T4S7|UBR4_HUMAN,HEKR_SEC1,neg,train
sp|P30041|PRDX6_HUMAN,HEMO_SEC2,neg,train
sp|P15924|DESP_HUMAN,HEMO_SEC1,neg,train
sp|Q9FN08|BGA10_ARATH,ARATH_IEX2,neg,train
sp|P49368|TCPG_HUMAN,HEK_IEX2,neg,train
sp|Q16775|GLO2_HUMAN,HEMO_SEC1,neg,train
sp|P23577|CYF_CHLRE,CHLRE_SEC1,neg,train
tr|A8IX80|A8IX80_CHLRE,CHLRE_IEX1,neg,train
tr|I1LM82|I1LM82_SOYBN,SOYBN_SEC2,neg,train
sp|P02768|ALBU_HUMAN,HEMO_SEC2,neg,train
sp|Q6PI48|SYDM_HUMAN,HEK_SEC2,neg,train
sp|Q99797|MIPEP_HUMAN,HEK_IEX2,neg,train
tr|I1LJE2|I1LJE2_SOYBN,SOYBN_SEC1,neg,train
sp|P25705|ATPA_HUMAN,HEK_IEX2,neg,train
tr|I1LQR4|I1LQR4_SOYBN,SOYBN_SEC1,neg,train
tr|Q06765|Q06765_SOYBN,SOYBN_SEC1,neg,train
tr|I1M4U3|I1M4U3_SOYBN,SOYBN_SEC1,neg,train
tr|I1L164|I1L164_SOYBN,SOYBN_SEC1,neg,train
sp|O24457|ODPA3_ARATH,ARATH_IEX1,neg,train
tr|I1LN30|I1LN30_SOYBN,SOYBN_SEC1,neg,train
sp|Q8VYR5|PP351_ARATH,ARATH_SEC1,neg,train
sp|P31150|GDIA_HUMAN,HEMO_IEX2,neg,train
tr|A0A2K3DQS2|A0A2K3DQS2_CHLRE,CHLRE_SEC1,neg,train
sp|Q9LM02|SMT1_ARATH,ARATH_IEX2,neg,train
tr|K7M9L4|K7M9L4_SOYBN,SOYBN_SEC2,neg,train
tr|A8INX1|A8INX1_CHLRE,CHLRE_SEC2,neg,train
sp|Q9ULH1|ASAP1_HUMAN,HEK_SEC2,neg,train
tr|I1K910|I1K910_SOYBN,SOYBN_SEC2,neg,train
tr|Q9FNS5|Q9FNS5_CHLRE,CHLRE_IEX1,neg,train
sp|Q9MAH0|CAPP1_ARATH,ARATH_IEX2,neg,train
tr|I1LKZ0|I1LKZ0_SOYBN,SOYBN_SEC2,neg,train
sp|Q12906|ILF3_HUMAN,HEK_SEC1,neg,train
sp|P35580|MYH10_HUMAN,HEK_SEC2,neg,train
sp|Q96FW1|OTUB1_HUMAN,HEMO_IEX2,neg,train
tr|A8J6J6|A8J6J6_CHLRE,CHLRE_SEC1,neg,train
sp|Q13642|FHL1_HUMAN,HEKR_SEC1,neg,train
tr|A8J9S9|A8J9S9_CHLRE,CHLRE_IEX1,neg,train
tr|A0A2K3E2W1|A0A2K3E2W1_CHLRE,CHLRE_IEX1,neg,train
tr|I1KVD4|I1KVD4_SOYBN,SOYBN_SEC1,neg,train
tr|A0A2K3E879|A0A2K3E879_CHLRE,CHLRE_IEX1,neg,train
